x,Curve1
-0.0905172,0.011916
-0.0517241,0.0448394
-0.0431034,0.0940214
-0.0344828,0.175968
-0.0258621,0.290679
-0.0215517,0.630628
-0.012931,1.18766
0,1.46212
0.0172414,1.39666
0.0215517,1.06084
0.0258621,0.602154
0.0344828,0.348264
0.0474138,0.213163
0.0560345,0.458933
0.0603448,0.839838
0.0689655,1.20438
0.0732759,3.1375
0.0775862,3.95254
0.0905172,4.90686
0.103448,3.72329
0.107759,3.28918
0.116379,2.44962
0.125,1.81894
0.12931,1.28654
0.133621,0.9671
0.137931,0.680428
0.142241,0.52891
0.155172,0.344663
0.159483,0.152189
0.172414,0.0908085
0.193966,0.0540367
0.219828,0.0418559
0.237069,0.10336
0.25,0.250853
0.25431,0.35326
0.262931,0.513022
0.271552,0.574491
0.275862,0.443451
0.280172,0.336984
0.284483,0.222326
0.293103,0.156832
0.297414,0.0913205
0.327586,0.0750618
0.344828,0.0833235
0.349138,0.161157
0.353448,0.23899
0.366379,0.300477
0.375,0.28413
0.37931,0.230905
0.383621,0.181776
0.392241,0.124473
0.405172,0.0835707
0.418103,0.0795281
0.439655,0.108285
0.443966,0.206596
0.452586,0.349976
0.456897,0.554772
0.461207,0.923391
0.469828,1.06677
0.482759,1.21017
0.491379,1.3044
0.5,1.52969
0.508621,1.41915
0.512931,1.2922
0.517241,1.05877
0.525862,0.784406
0.530172,0.411728
0.538793,0.342138
0.560345,0.317653
0.564655,0.202995
0.568966,0.141579
0.577586,0.100659
0.594828,0.0556785
0.612069,0.125374
0.616379,0.178634
0.62931,0.190973
0.642241,0.162357
0.650862,0.117341
0.663793,0.0846299
0.681034,0.0724138
0.715517,0.072555
0.728448,0.129946
0.737069,0.203701
0.741379,0.240579
0.75431,0.191485
0.767241,0.252972
0.793103,0.248982
0.801724,0.117959
0.818966,0.0688831
0.831897,0.171325
0.840517,0.306514
0.844828,0.494928
0.853448,0.658785
0.857759,1.10522
0.87069,1.13804
0.875,1.12577
0.87931,1.05616
0.883621,0.871878
0.887931,0.527869
0.892241,0.273961
0.905172,0.265823
0.913793,0.376439
0.922414,0.515723
0.926724,0.732806
0.935345,0.736937
0.948276,0.806614
0.952586,0.765676
0.956897,0.651018
0.961207,0.511787
0.965517,0.429893
0.969828,0.278375
0.974138,0.221054
0.978448,0.180117
0.991379,0.208838
0.99569,0.262098
1.00431,0.385001
1.00862,0.622561
1.01724,0.819183
1.03017,0.962581
1.03448,1.237
1.03879,1.77763
1.0431,2.79335
1.05172,3.977
1.05603,5.16064
1.06466,5.77501
1.06897,5.3409
1.07759,4.68155
1.0819,3.55528
1.08621,2.58875
1.09052,1.76146
1.09483,1.12667
1.10345,0.778581
1.10776,0.618871
1.11207,0.491927
1.12069,0.463293
1.13362,0.569831
1.13793,0.770531
1.14655,1.44224
1.15086,1.97058
1.15517,2.03613
1.15948,2.20816
1.17241,2.20412
1.17672,1.01642
1.18534,0.799394
1.18966,0.598729
1.19397,0.43902
1.20259,0.430864
1.21121,0.361275
1.21552,0.594739
1.22414,0.897846
1.22845,1.25827
1.24138,1.25833
1.24569,1.13548
1.25,0.963481
1.25431,0.594898
1.26293,0.590838
1.26724,0.287784
1.28448,0.140414
1.2931,0.17731
1.31034,0.181476
1.31897,0.259327
1.32328,0.451836
1.32759,0.697587
1.33621,1.58636
1.34483,2.19254
1.34914,2.44648
1.35345,2.49155
1.36638,2.48751
1.37069,1.5865
1.37931,1.17288
1.38362,0.808397
1.38793,0.415241
1.39655,0.407085
1.40086,0.300618
1.40517,0.206438
1.40948,0.161404
1.42241,0.124597
1.43966,0.247534
1.44397,0.333559
1.44828,0.476921
1.4569,0.698117
1.46121,0.800524
1.46983,0.792368
1.47845,0.763734
1.48276,0.665458
1.48707,0.534418
1.49138,0.399282
1.49569,0.333771
1.5,0.227304
1.50431,0.169984
1.52155,0.145481
1.53448,0.190585
1.53879,0.231558
1.54741,0.329887
1.55603,0.293062
1.56466,0.424156
1.57759,0.424209
1.5819,0.317742
1.59052,0.26863
1.59483,0.203119
1.60776,0.170407
1.61638,0.22778
1.625,0.379352
1.63362,0.494063
1.63793,0.522749
1.65948,0.453213
1.66379,0.62934
1.6681,0.879187
1.68103,1.14955
1.68534,1.35434
1.69397,1.85813
1.69828,1.95235
1.70259,2.108
1.71121,2.09984
1.71552,1.76402
1.72414,1.50604
1.73276,0.842592
1.73707,0.55592
1.74569,0.351177
1.75431,0.244728
1.76724,0.277545
1.77586,0.511027
1.78017,0.687154
1.78448,0.875568
1.79741,0.871525
1.80603,0.769171
1.81034,0.617653
1.81466,0.53576
1.82328,0.417024
1.8319,0.392486
1.83621,0.486701
1.84052,0.67921
1.84914,1.05604
1.85345,1.18711
1.86638,1.18717
1.87069,0.86773
1.875,0.818601
1.88362,0.818636
1.89224,0.859627
1.89655,1.04804
1.90517,1.60917
1.92241,1.57647
1.92672,1.37581
1.93534,0.716459
1.93966,0.581323
1.94828,0.347911
1.9569,0.282417
1.96983,0.278375
1.97414,0.462693
1.97845,0.561004
1.98707,0.585613
1.99138,0.720784
2.00431,0.67169
2.01293,0.393227
2.01724,0.290856
2.02155,0.245822
