E_keV,32_F(ZE)
310,3.040
320,3.021
330,3.004
340,2.987
350,2.971
360,2.956
370,2.942
380,2.929
390,2.916
400,2.903
450,2.848
500,2.803
550,2.765
600,2.732
650,2.704
700,2.679
750,2.657
800,2.637
850,2.619
900,2.603
950,2.588
1000,2.574
1100,2.548
1200,2.526
1300,2.507
1400,2.489
1500,2.473
1600,2.458
1700,2.444
1800,2.431
1900,2.419
2000,2.408
2200,2.387
2400,2.367
2600,2.349
2800,2.332
3000,2.316
3200,2.300
3400,2.285
3600,2.271
3800,2.257
4000,2.244
4500,2.213
5000,2.183
5500,2.155
6000,2.128
7000,2.077
8000,2.033
9000,1.992
10000,1.952
